requirement_id,type,priority,domain,chapter,section,page,short_substance,owner,implementation_status,verification_status,production_readiness,pilot_blocking,production_blocking,full_srs_blocking,repo_evidence,test_evidence,evidence_basis,governance_dependency,design_dependency,runtime_dependency,external_dependency,workstream,recommended_lane,merge_wave,can_start_now,blocking_reason,schema_change_expected,migration_expected,notes,delta_from_p0,delta_reason
FR-CST-031,FR,S,Costing & Profitability,13,13.5,84,The System SHALL compute:,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no labour data,none,DOMAIN,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-032,FR,S,Costing & Profitability,13,13.5,84,The System SHALL display sales and labour on a common hourly axis so over- and under-staffing by hour is visible.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no labour data,none,DOMAIN,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-035,FR,S,Costing & Profitability,13,13.6,85,The System SHALL produce a branch profitability summary: Gross Sales − Discounts − Refunds = Net Sales (excl. tax) − COGS,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no profitability reporting,none,MODULE,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-036,FR,S,Costing & Profitability,13,13.6,85,"The System SHALL support recording branch operating expenses (rent, utilities, maintenance) with category, recurrence, and allocation.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no profitability reporting,none,MODULE,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-037,FR,S,Costing & Profitability,13,13.6,85,"The System SHALL support branch ranking by any metric, with configurable normalisation (absolute, per seat, per square metre, per labour hour) so that branches of different sizes are comparable.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no profitability reporting,none,MODULE,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-038,FR,C,Costing & Profitability,13,13.6,85,"The System SHALL compute a break-even sales level per branch from fixed costs and average contribution margin, and SHALL show progress against it during the month.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no profitability reporting,none,MODULE,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-040,FR,S,Costing & Profitability,13,13.7,85,"The System SHALL monitor and flag the following patterns for review. Every flag is a prompt for human investigation, never an accusation.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no fraud or anomaly detection,none,MODULE,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-041,FR,M,Costing & Profitability,13,13.7,86,Anomaly flags SHALL be visible only to users holding an explicit governance.view_anomalies permission.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no fraud or anomaly detection,none,MODULE,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-042,FR,M,Costing & Profitability,13,13.7,86,"The System SHALL present anomaly flags with the underlying evidence — the specific transactions, timestamps, and comparison baseline — so that a manager can evaluate them rather than accept them.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no fraud or anomaly detection,none,MODULE,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-CST-043,FR,S,Costing & Profitability,13,13.7,86,"Baselines SHALL be computed per branch and per role, not globally, because normal void rates differ enormously between a fast-food counter and a fine-dining room.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no fraud or anomaly detection,none,MODULE,,,,,P8-COST,E,2,YES,,NO,NO,,UNCHANGED,
FR-DR-001,FR,M,Data Architecture & DR,25,25.3,146,"High-volume, time-ordered tables SHALL be range-partitioned by time:",INFRA/DEVOPS,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,stock_movements PARTITION BY RANGE(occurred_at); orders + order_lines PARTITION BY RANGE(business_day),test/inventory.e2e-spec.ts; order-completion suites,DIRECT,,,,,P17-DR,G,4,YES,,NO,NO,,UNCHANGED,
FR-DR-002,FR,M,Data Architecture & DR,25,25.3,146,"Partitions SHALL be created automatically at least 3 months in advance by a scheduled job, with alerting if creation fails.",INFRA/DEVOPS,NOT IMPLEMENTED,UNVERIFIED,NOT READY,YES,YES,YES,"no scheduled partition-creation job, no pg_cron/pg_partman, no alerting; fixed partition horizon",none,DIRECT,,,scheduler/job runner,,P17-DR,G,4,YES,,NO,NO,,UNCHANGED,
FR-DR-003,FR,M,Data Architecture & DR,25,25.3,146,Archived partitions SHALL be exported to object storage in a queryable columnar format and SHALL remain retrievable within the statutory retention window.,INFRA/DEVOPS,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,YES,YES,no archival/object-storage export,none,DIRECT,,,,,P17-DR,G,4,YES,,NO,NO,,UNCHANGED,
FR-DR-010,FR,M,Data Architecture & DR,25,25.5,147,"All schema changes SHALL be expressed as versioned, forward-only migrations checked into source control.",INFRA/DEVOPS,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"35 versioned forward-only Prisma migrations, verified applying clean from zero on a scratch DB this session","prisma migrate deploy (35/35, scratch DB)",DIRECT,,,,,P17-DR,G,4,YES,,NO,NO,,UNCHANGED,
FR-DR-011,FR,M,Data Architecture & DR,25,25.5,147,"Migrations SHALL be backward compatible with the previously deployed application version, enabling zero-downtime deployment and rollback.",INFRA/DEVOPS,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"expand-migrate-contract observed by convention in several migrations, but no lock-budget timing gate and no production-sized staging rehearsal (no CI/staging)",none,DIRECT,,,,,P17-DR,G,4,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-DR-012,FR,M,Data Architecture & DR,25,25.5,147,"Breaking schema changes SHALL follow the expand–migrate–contract sequence: 1. Expand | : add the new column/table, nullable, with no constraint. Deploy. 2. Backfill : populate in batches with throttling to avoid lock escalation and replication lag.",INFRA/DEVOPS,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"expand-migrate-contract observed by convention in several migrations, but no lock-budget timing gate and no production-sized staging rehearsal (no CI/staging)",none,DIRECT,,,,,P17-DR,G,4,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-DR-013,FR,M,Data Architecture & DR,25,25.5,147,"Migrations SHALL be tested against a production-sized dataset in staging with timing measured, and any migration exceeding a 5-second lock SHALL be rejected.",INFRA/DEVOPS,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"expand-migrate-contract observed by convention in several migrations, but no lock-budget timing gate and no production-sized staging rehearsal (no CI/staging)",none,DIRECT,,,,,P17-DR,G,4,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-DR-014,FR,M,Data Architecture & DR,25,25.5,147,"Adding a NOT NULL column to a large table SHALL use a nullable column plus a backfill plus a validated constraint, never a single blocking statement.",INFRA/DEVOPS,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"expand-migrate-contract observed by convention in several migrations, but no lock-budget timing gate and no production-sized staging rehearsal (no CI/staging)",none,DIRECT,,,,,P17-DR,G,4,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-DR-020,FR,M,Data Architecture & DR,25,25.7,148,"Backups SHALL be encrypted, and restore procedures SHALL be documented and rehearsed quarterly with recorded results.",INFRA/DEVOPS,NOT IMPLEMENTED,UNVERIFIED,NOT READY,YES,YES,YES,"no backup, restore, PITR or per-tenant restore mechanism in repo",none,DIRECT,,,,,P17-DR,G,4,YES,,NO,NO,,UNCHANGED,
FR-DR-021,FR,M,Data Architecture & DR,25,25.7,148,"The System SHALL support restoring a single tenant’s data without restoring the entire database, using logical export filtered by tenant_id.",INFRA/DEVOPS,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,YES,YES,"no backup, restore, PITR or per-tenant restore mechanism in repo",none,DIRECT,,,,,P17-DR,G,4,YES,,NO,NO,,UNCHANGED,
FR-FIN-001,FR,M,Finance & Treasury,16,16.2,96,"The System SHALL model cash drawers as branch-level entities, with one open cash session per drawer at any time.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"treasury.drawers + cash_sessions, one open session per drawer, bound to one employee",test/cash-session.e2e-spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-002,FR,M,Finance & Treasury,16,16.2,96,A cash session SHALL be bound to exactly one employee. Two employees SHALL NOT share an open session on the same drawer.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"treasury.drawers + cash_sessions, one open session per drawer, bound to one employee",test/cash-session.e2e-spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-003,FR,S,Finance & Treasury,16,16.2,96,"The System SHALL support shared-drawer mode where a branch policy permits multiple cashiers on one drawer, in which case accountability attaches to the shift rather than the individual, and this SHALL be visibly indicated as a reduced control environment.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no shared-drawer mode,none,DIRECT,,,,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-004,FR,M,Finance & Treasury,16,16.2,96,Expected cash SHALL be computed as: Expected Cash = Opening Float + Cash Sales + Cash Tips (if placed in drawer) + Pay-ins − Cash Refunds,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,cash-session-close.service computes expected cash and variance,test/cash-session-close.e2e-spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-005,FR,M,Finance & Treasury,16,16.2,96,Cash variance SHALL be computed as Counted Cash − Expected Cash and SHALL be recorded on the session.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,cash-session-close.service computes expected cash and variance,test/cash-session-close.e2e-spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-006,FR,M,Finance & Treasury,16,16.2,96,"Variance beyond a configurable tolerance SHALL require a reason and approval by a user with cash.variance.approve, who SHALL NOT be the session owner.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,tolerance from CashClosePolicy; cash.variance.approve required beyond it,test/cash-close-policy.e2e-spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-007,FR,M,Finance & Treasury,16,16.2,97,Cash sessions SHALL be immutable once closed. Corrections SHALL be recorded as adjusting entries referencing the session.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,closed sessions immutable; CashSessionCloseAttempt records attempts,test/cash-session-close.e2e-spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-010,FR,M,Finance & Treasury,16,16.3,97,"The System SHALL record, per session and per day, totals by tender type: cash, each card scheme, each wallet, gift card, voucher, on-account, and aggregator-settled.",BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,NO,YES,totals by tender exist for the two implemented tenders only,test/reporting-tender.e2e-spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-FIN-011,FR,S,Finance & Treasury,16,16.3,97,"The System SHALL support reconciliation of card totals against the payment terminal’s batch settlement report, flagging differences.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no terminal batch settlement or aggregator payout reconciliation,none,DOMAIN,,,,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-012,FR,S,Finance & Treasury,16,16.3,97,"The System SHALL support reconciliation of aggregator-settled orders against aggregator payout statements, computing expected payout net of commission and flagging discrepancies.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no terminal batch settlement or aggregator payout reconciliation,none,DOMAIN,,,,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-015,FR,S,Finance & Treasury,16,16.4,97,"The System SHALL support recording branch operating expenses with category, amount, payment method, supplier, date, attachment, and approval status.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no Expense model, no expense lifecycle; pay-out exists but is not linked to any expense record",none,DIRECT,,,,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-016,FR,S,Finance & Treasury,16,16.4,97,"Petty cash paid from the drawer SHALL be recorded as a pay-out linked to the expense record, so that the drawer reconciles.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no Expense model, no expense lifecycle; pay-out exists but is not linked to any expense record",none,DIRECT,,,,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-017,FR,S,Finance & Treasury,16,16.4,97,Expenses above a configurable threshold SHALL require approval before posting.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no Expense model, no expense lifecycle; pay-out exists but is not linked to any expense record",none,DIRECT,,,,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-018,FR,S,Finance & Treasury,16,16.4,97,"The System SHALL support recurring expense templates for rent, utilities, and subscriptions.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no Expense model, no expense lifecycle; pay-out exists but is not linked to any expense record",none,DIRECT,,,,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-020,FR,M,Finance & Treasury,16,16.5,97,The System SHALL support a business-day close operation per branch.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"treasury/day-close: per-branch close, blocked by open sessions with blocking list, sequential Z number, configurable business-day boundary",test/day-close.e2e-spec.ts; day-close-znumber-concurrency; day-close-cutover-race,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-021,FR,M,Finance & Treasury,16,16.5,97,"Day close SHALL be blocked while any cash session remains open, and SHALL list the blocking sessions.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"treasury/day-close: per-branch close, blocked by open sessions with blocking list, sequential Z number, configurable business-day boundary",test/day-close.e2e-spec.ts; day-close-znumber-concurrency; day-close-cutover-race,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-022,FR,M,Finance & Treasury,16,16.5,97,"Day close SHALL produce a Z report containing: gross sales, discounts, refunds, net sales, tax by rate, sales by category, sales by tender, sales by order type, transaction count, average order value, void and comp summary, cash reconciliation, and variance summary.",BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,YES,YES,YES,Z report totals present for order type and tax class; tax-by-rate and sales-by-category absent,test/day-close.e2e-spec.ts; reporting-tax,DIRECT,,,,,P7-FISCAL,C,3,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-FIN-023,FR,M,Finance & Treasury,16,16.5,97,"Z reports SHALL be sequentially numbered per branch, immutable, and retrievable for any historical date.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"treasury/day-close: per-branch close, blocked by open sessions with blocking list, sequential Z number, configurable business-day boundary",test/day-close.e2e-spec.ts; day-close-znumber-concurrency; day-close-cutover-race,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-024,FR,M,Finance & Treasury,16,16.5,98,"The System SHALL support a configurable business-day boundary per branch (e.g. 04:00), so that late-night trading is attributed to the correct operating day.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"treasury/day-close: per-branch close, blocked by open sessions with blocking list, sequential Z number, configurable business-day boundary",test/day-close.e2e-spec.ts; day-close-znumber-concurrency; day-close-cutover-race,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-025,FR,S,Finance & Treasury,16,16.5,98,"Day close SHALL be performable automatically at the configured boundary where the branch enables it, with any open sessions force-closed and flagged.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no automatic boundary close, no forced session close",none,DIRECT,,,scheduler/job runner,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-026,FR,M,Finance & Treasury,16,16.5,98,"Day close SHALL trigger: fiscal document finalisation, inventory day-end snapshot, report pre-aggregation, and accounting export generation where configured.",BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,YES,YES,"inventory day-end effect is implicit; fiscal finalisation, pre-aggregation and accounting export absent (day-close.service.ts:211 records this explicitly)",test/day-close.e2e-spec.ts,DIRECT,,,event bus / transactional outbox,,P7-FISCAL,C,3,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-FIN-030,FR,M,Finance & Treasury,16,16.6,98,"Tax SHALL be computed by the country pack’s tax engine, never by hard- coded logic.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,localisation/tax engine registry; zero hard-coded tax logic,tax/conformance.spec.ts; tax.calculator.spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-031,FR,M,Finance & Treasury,16,16.6,98,"The System SHALL support tax-inclusive and tax-exclusive pricing, configurable per branch and per price list.",BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,NO,YES,country pack pricingMode is pack-level; not configurable per branch and per price list,country-pack.parser.spec.ts,MODULE,,,,,P7-FISCAL,C,3,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-FIN-032,FR,M,Finance & Treasury,16,16.6,98,"The System SHALL support multiple simultaneous tax components (e.g. VAT plus municipality fee plus service tax), each with its own rate, base, and rounding.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,vat-standard.strategy.ts is single-component; no multi-component tax stacking,none,DIRECT,,,,,P7-FISCAL,C,3,YES,,YES,YES,,UNCHANGED,
FR-FIN-033,FR,M,Finance & Treasury,16,16.6,98,"The System SHALL support tax classes per item (standard, reduced, zero- rated, exempt) and SHALL support order-type-dependent rates where the jurisdiction differentiates dine-in from takeaway.",BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,NO,YES,fiscal.tax_classes per item implemented; orderTypeOverrides parsed by the pack but no reachable order-type-dependent rate path,test/reporting-tax.e2e-spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-FIN-034,FR,M,Finance & Treasury,16,16.6,98,"Tax SHALL be computed at line level and summed, not computed on the order total.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,computationLevel line + per-line tax then summed,tax.calculator.spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,NO,NO,,UNCHANGED,
FR-FIN-035,FR,M,Finance & Treasury,16,16.6,98,"The rounding mode and rounding point SHALL be specified by the country pack and SHALL be applied consistently across POS, server, receipt, and fiscal submission.",BACKEND,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,NO,YES,pack rounding mode/precision applied at the tax calculator; cash rounding (FR-POS-063) not applied at payment,tax.calculator.spec.ts,DIRECT,,,,,P7-FISCAL,C,3,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-HRM-001,FR,M,Workforce / HR,14,14.2,87,"The System SHALL maintain employee records containing: employee code, names (localised), national/residency identifier, contact details, emergency contact, date of birth, hire date, termination date, position, department, home branch, permitted branches, employment type, and status.",BACKEND,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"Employee, EmployeeBranch, home branch and User linkage exist (D-2 amendment); the wider employee record is absent",none,MODULE,,,,,P11-HR,F,2,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-HRM-002,FR,M,Workforce / HR,14,14.2,87,"The System SHALL support employment types: full-time, part-time, casual, contractor, and trainee, with different rules for scheduling and overtime.",BACKEND,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"Employee, EmployeeBranch, home branch and User linkage exist (D-2 amendment); the wider employee record is absent",none,MODULE,,,,,P11-HR,F,2,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-HRM-003,FR,M,Workforce / HR,14,14.2,87,"The System SHALL store compensation basis (hourly rate, monthly salary, or per-shift rate) with effective dating, and SHALL restrict visibility of compensation to holders of an explicit permission.",BACKEND,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"Employee, EmployeeBranch, home branch and User linkage exist (D-2 amendment); the wider employee record is absent",none,MODULE,,,,,P11-HR,F,2,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-HRM-004,FR,S,Workforce / HR,14,14.2,87,"The System SHALL store document references with expiry dates (residency permit, work permit, health certificate, food-handling licence) and SHALL alert before expiry.",BACKEND,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"Employee, EmployeeBranch, home branch and User linkage exist (D-2 amendment); the wider employee record is absent",none,MODULE,,,,,P11-HR,F,2,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-HRM-005,FR,M,Workforce / HR,14,14.2,87,"Employees SHALL be assignable to multiple branches with a designated home branch, supporting the common practice of staff covering shifts across a group.",BACKEND,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"Employee, EmployeeBranch, home branch and User linkage exist (D-2 amendment); the wider employee record is absent",none,MODULE,,,,,P11-HR,F,2,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-HRM-006,FR,M,Workforce / HR,14,14.2,88,Employee records SHALL be deactivatable but SHALL NOT be deletable while historical transactions reference them.,BACKEND,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,"Employee, EmployeeBranch, home branch and User linkage exist (D-2 amendment); the wider employee record is absent",none,MODULE,,,,,P11-HR,F,2,YES,,MAYBE,MAYBE,,UNCHANGED,
FR-HRM-010,FR,S,Workforce / HR,14,14.3,88,"The System SHALL support creating shift schedules by branch, week, position, and employee.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no scheduling substrate beyond a Shift row,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-011,FR,S,Workforce / HR,14,14.3,88,The System SHALL support shift templates and week-pattern copying to avoid rebuilding a schedule each week.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no scheduling substrate beyond a Shift row,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-012,FR,S,Workforce / HR,14,14.3,88,The System SHALL validate schedules against configurable rules and warn or block on violation:,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no scheduling substrate beyond a Shift row,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-013,FR,S,Workforce / HR,14,14.3,88,The System SHALL project scheduled labour cost for the week and compare it against a configurable target percentage of forecast sales.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no scheduling substrate beyond a Shift row,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-014,FR,S,Workforce / HR,14,14.3,88,"The System SHALL forecast required staffing per hour from historical sales patterns for the same weekday and season, and SHALL overlay this against the drafted schedule.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no scheduling substrate beyond a Shift row,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-015,FR,S,Workforce / HR,14,14.3,88,The System SHALL publish schedules to employees by mobile notification and SHALL record acknowledgement.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no scheduling substrate beyond a Shift row,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-016,FR,C,Workforce / HR,14,14.3,88,"The System SHALL support shift swap requests between employees, subject to rule validation and manager approval.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no scheduling substrate beyond a Shift row,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-017,FR,S,Workforce / HR,14,14.3,88,"The System SHALL support leave requests, approval workflow, and a leave balance per configured leave type.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no scheduling substrate beyond a Shift row,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-020,FR,M,Workforce / HR,14,14.4,88,"The System SHALL support clock-in and clock-out via: POS terminal with PIN, mobile app with geofence validation, and biometric device integration where available.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no attendance, breaks, adjustments or leave",none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-021,FR,M,Workforce / HR,14,14.4,88,"The System SHALL record clock events with timestamp, method, terminal or device, and — where mobile — GPS coordinates.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no attendance, breaks, adjustments or leave",none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-022,FR,M,Workforce / HR,14,14.4,89,"The System SHALL detect and flag: late arrival beyond a grace period, early departure, missing clock-out, clock-in outside the geofence, and clock-in with no scheduled shift.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no attendance, breaks, adjustments or leave",none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-023,FR,M,Workforce / HR,14,14.4,89,"The System SHALL prevent a clock-in more than a configurable interval before the scheduled shift start, to prevent inflated paid hours.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no attendance, breaks, adjustments or leave",none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-024,FR,S,Workforce / HR,14,14.4,89,"Missing clock-outs SHALL be auto-closed at a configurable maximum shift length, flagged for manager correction, and SHALL NOT silently accrue hours.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no attendance, breaks, adjustments or leave",none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-025,FR,M,Workforce / HR,14,14.4,89,"Manual attendance corrections SHALL require a reason, SHALL be permission-gated, and SHALL create an audit entry retaining the original value.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no attendance, breaks, adjustments or leave",none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-026,FR,S,Workforce / HR,14,14.4,89,"The System SHALL support break tracking, distinguishing paid from unpaid breaks per configuration.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no attendance, breaks, adjustments or leave",none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-027,FR,C,Workforce / HR,14,14.4,89,"The System SHALL support photo capture at clock-in as a deterrent to buddy-punching, subject to explicit configuration and employee notice.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,"no attendance, breaks, adjustments or leave",none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
FR-HRM-030,FR,S,Workforce / HR,14,14.5,89,"The System SHALL compute per-employee metrics: total sales, order count, average order value, items per order, upsell attachment rate, average service time, void count and value, discount count and value, and cash variance.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no performance metrics or payroll export,none,DOMAIN,,,,,P11-HR,F,2,YES,,YES,YES,,UNCHANGED,
